team,league_points,wins,losses,map_differential,maps_won,maps_lost,opponent_points,opponent_differential,sim_number,rank
Los Angeles Valiant,0,0,16,-46,2,48,147,108,7312,8
Shanghai Dragons,20,12,4,19,38,19,124,-15,7313,1
Chengdu Hunters,13,10,6,10,36,26,118,-51,7313,2
Seoul Dynasty,12,12,4,19,40,21,120,-40,7313,3
Philadelphia Fusion,10,10,6,13,36,23,126,-16,7313,4
Hangzhou Spark,8,8,8,4,34,30,128,-10,7313,5
New York Excelsior,8,8,8,0,30,30,122,-31,7313,6
Guangzhou Charge,4,4,12,-21,20,41,140,65,7313,7
Los Angeles Valiant,0,0,16,-44,4,48,146,98,7313,8
Shanghai Dragons,22,12,4,21,38,17,123,-23,7314,1
Chengdu Hunters,13,11,5,16,38,22,116,-65,7314,2
Seoul Dynasty,12,12,4,18,39,21,121,-36,7314,3
Philadelphia Fusion,10,10,6,12,36,24,126,-10,7314,4
Hangzhou Spark,7,7,9,1,32,31,131,-2,7314,5
New York Excelsior,7,7,9,-2,30,32,124,-29,7314,6
Guangzhou Charge,5,5,11,-21,18,39,137,61,7314,7
Los Angeles Valiant,0,0,16,-45,3,48,146,104,7314,8
Shanghai Dragons,21,12,4,21,38,17,124,-18,7315,1
Seoul Dynasty,12,12,4,18,39,21,121,-37,7315,2
Chengdu Hunters,12,10,6,13,35,22,118,-57,7315,3
Philadelphia Fusion,10,10,6,13,36,23,125,-18,7315,4
Hangzhou Spark,8,8,8,6,34,28,129,-13,7315,5
New York Excelsior,7,7,9,-5,27,32,124,-21,7315,6
Guangzhou Charge,5,5,11,-22,18,40,138,68,7315,7
Los Angeles Valiant,0,0,16,-44,4,48,145,96,7315,8
Shanghai Dragons,22,12,4,21,38,17,124,-19,7316,1
Seoul Dynasty,12,12,4,17,39,22,121,-32,7316,2
Chengdu Hunters,12,10,6,11,35,24,118,-54,7316,3
Philadelphia Fusion,10,10,6,14,37,23,125,-21,7316,4
Hangzhou Spark,8,8,8,6,34,28,129,-10,7316,5
New York Excelsior,7,7,9,-4,28,32,124,-24,7316,6
Guangzhou Charge,5,5,11,-19,19,38,138,61,7316,7
Los Angeles Valiant,0,0,16,-46,2,48,145,99,7316,8
Shanghai Dragons,21,12,4,21,38,17,124,-21,7317,1
Seoul Dynasty,12,12,4,18,39,21,121,-34,7317,2
Chengdu Hunters,12,10,6,14,37,23,117,-66,7317,3
Philadelphia Fusion,9,9,7,8,34,26,128,-1,7317,4
Hangzhou Spark,8,8,8,3,32,29,129,-4,7317,5
New York Excelsior,8,8,8,1,31,30,121,-40,7317,6
Guangzhou Charge,5,5,11,-19,19,38,138,59,7317,7
Los Angeles Valiant,0,0,16,-46,2,48,146,107,7317,8
Shanghai Dragons,19,11,5,17,36,19,127,-7,7318,1
Seoul Dynasty,13,13,3,21,41,20,118,-45,7318,2
Philadelphia Fusion,12,9,7,9,35,26,128,-6,7318,3
Chengdu Hunters,11,9,7,8,34,26,119,-52,7318,4
New York Excelsior,9,9,7,4,33,29,119,-44,7318,5
Hangzhou Spark,8,8,8,6,34,28,128,-15,7318,6
Guangzhou Charge,5,5,11,-20,19,39,139,67,7318,7
Los Angeles Valiant,0,0,16,-45,3,48,146,102,7318,8
Shanghai Dragons,20,12,4,21,38,17,124,-20,7319,1
Seoul Dynasty,13,12,4,18,39,21,120,-39,7319,2
Chengdu Hunters,13,11,5,16,38,22,115,-68,7319,3
Philadelphia Fusion,9,9,7,9,35,26,129,-1,7319,4
Hangzhou Spark,8,8,8,4,33,29,128,-11,7319,5
New York Excelsior,8,8,8,1,32,31,121,-38,7319,6
Guangzhou Charge,4,4,12,-24,16,40,140,70,7319,7
Los Angeles Valiant,0,0,16,-45,3,48,147,107,7319,8
Shanghai Dragons,20,12,4,20,38,18,124,-18,7320,1
Chengdu Hunters,16,11,5,15,38,23,115,-66,7320,2
Seoul Dynasty,12,12,4,18,39,21,120,-37,7320,3
Philadelphia Fusion,9,9,7,9,35,26,129,-3,7320,4
Hangzhou Spark,8,8,8,4,34,30,128,-9,7320,5
New York Excelsior,8,8,8,0,31,31,121,-36,7320,6
Guangzhou Charge,4,4,12,-21,19,40,140,64,7320,7
Los Angeles Valiant,0,0,16,-45,3,48,147,105,7320,8
Shanghai Dragons,20,12,4,21,38,17,124,-20,7321,1
Seoul Dynasty,13,12,4,18,39,21,120,-40,7321,2
Chengdu Hunters,13,11,5,17,38,21,116,-67,7321,3
Philadelphia Fusion,10,10,6,11,36,25,126,-7,7321,4
Hangzhou Spark,8,8,8,4,33,29,128,-12,7321,5
New York Excelsior,7,7,9,-2,30,32,124,-29,7321,6
Guangzhou Charge,4,4,12,-25,16,41,140,72,7321,7
Los Angeles Valiant,0,0,16,-44,4,48,146,103,7321,8
Shanghai Dragons,22,12,4,20,38,18,123,-21,7322,1
Chengdu Hunters,13,11,5,17,38,21,116,-68,7322,2
Seoul Dynasty,12,12,4,17,39,22,121,-33,7322,3
Philadelphia Fusion,10,10,6,12,37,25,126,-10,7322,4
Hangzhou Spark,7,7,9,2,33,31,131,-3,7322,5
New York Excelsior,7,7,9,-3,29,32,124,-28,7322,6
Guangzhou Charge,5,5,11,-19,19,38,137,57,7322,7
Los Angeles Valiant,0,0,16,-46,2,48,146,106,7322,8
Shanghai Dragons,20,12,4,20,38,18,124,-15,7323,1
Chengdu Hunters,13,10,6,9,35,26,119,-47,7323,2
Philadelphia Fusion,11,11,5,17,38,21,123,-28,7323,3
Seoul Dynasty,11,11,5,15,38,23,122,-32,7323,4
Hangzhou Spark,9,9,7,10,35,25,126,-22,7323,5
New York Excelsior,7,7,9,-3,29,32,125,-23,7323,6
Guangzhou Charge,4,4,12,-22,17,39,140,69,7323,7
Los Angeles Valiant,0,0,16,-46,2,48,145,98,7323,8
Shanghai Dragons,20,12,4,21,38,17,124,-19,7324,1
Chengdu Hunters,14,11,5,16,38,22,116,-63,7324,2
Seoul Dynasty,12,12,4,18,39,21,119,-44,7324,3
Philadelphia Fusion,9,9,7,9,35,26,129,-2,7324,4
Hangzhou Spark,8,8,8,5,33,28,127,-18,7324,5
New York Excelsior,8,8,8,0,31,31,122,-31,7324,6
Guangzhou Charge,3,3,13,-29,13,42,142,81,7324,7
Los Angeles Valiant,1,1,15,-40,5,45,145,96,7324,8
Shanghai Dragons,20,12,4,21,38,17,124,-19,7325,1
Chengdu Hunters,15,11,5,17,38,21,115,-71,7325,2
Seoul Dynasty,12,12,4,17,39,22,120,-37,7325,3
Philadelphia Fusion,9,9,7,9,35,26,129,-1,7325,4
Hangzhou Spark,8,8,8,6,34,28,128,-15,7325,5
New York Excelsior,8,8,8,0,30,30,121,-37,7325,6
Guangzhou Charge,4,4,12,-24,15,39,140,71,7325,7
Los Angeles Valiant,0,0,16,-46,2,48,147,109,7325,8
Shanghai Dragons,21,12,4,22,38,16,123,-27,7326,1
Chengdu Hunters,12,10,6,14,37,23,119,-58,7326,2
Philadelphia Fusion,11,11,5,15,38,23,123,-19,7326,3
Seoul Dynasty,11,11,5,13,36,23,123,-24,7326,4
Hangzhou Spark,8,8,8,4,34,30,129,-6,7326,5
New York Excelsior,7,7,9,-3,29,32,125,-24,7326,6
Guangzhou Charge,5,5,11,-20,19,39,137,57,7326,7
Los Angeles Valiant,0,0,16,-45,3,48,145,101,7326,8
Shanghai Dragons,20,12,4,21,38,17,124,-21,7327,1
Seoul Dynasty,13,12,4,17,38,21,120,-35,7327,2
Chengdu Hunters,13,11,5,16,38,22,115,-71,7327,3
Philadelphia Fusion,9,9,7,7,33,26,129,5,7327,4
Hangzhou Spark,8,8,8,4,32,28,128,-9,7327,5
New York Excelsior,8,8,8,3,32,29,121,-45,7327,6
Guangzhou Charge,4,4,12,-22,17,39,140,65,7327,7
Los Angeles Valiant,0,0,16,-46,2,48,147,111,7327,8
Shanghai Dragons,20,12,4,20,38,18,123,-22,7328,1
Chengdu Hunters,16,11,5,17,38,21,116,-68,7328,2
Seoul Dynasty,13,12,4,19,39,20,121,-37,7328,3
Philadelphia Fusion,10,10,6,11,35,24,126,-7,7328,4
Hangzhou Spark,7,7,9,-1,30,31,131,3,7328,5
New York Excelsior,7,7,9,-2,30,32,124,-30,7328,6
Guangzhou Charge,5,5,11,-19,19,38,137,56,7328,7
Los Angeles Valiant,0,0,16,-45,3,48,146,105,7328,8
Shanghai Dragons,19,11,5,17,37,20,126,-11,7329,1
Chengdu Hunters,15,11,5,16,38,22,116,-65,7329,2
Seoul Dynasty,13,12,4,17,39,22,119,-39,7329,3
Philadelphia Fusion,10,10,6,13,37,24,127,-11,7329,4
Hangzhou Spark,8,8,8,6,34,28,127,-17,7329,5
New York Excelsior,8,8,8,-1,30,31,122,-31,7329,6
Guangzhou Charge,4,4,12,-22,17,39,140,67,7329,7
Los Angeles Valiant,0,0,16,-46,2,48,147,107,7329,8
Shanghai Dragons,22,12,4,21,38,17,124,-22,7330,1
Chengdu Hunters,13,11,5,17,38,21,116,-66,7330,2
Seoul Dynasty,12,12,4,16,38,22,120,-34,7330,3
Philadelphia Fusion,11,10,6,13,37,24,126,-12,7330,4
Hangzhou Spark,8,8,8,4,32,28,128,-10,7330,5
New York Excelsior,7,7,9,-3,29,32,124,-26,7330,6
Guangzhou Charge,4,4,12,-23,16,39,140,66,7330,7
Los Angeles Valiant,0,0,16,-45,3,48,146,104,7330,8
Shanghai Dragons,20,12,4,21,38,17,125,-16,7331,1
Seoul Dynasty,13,12,4,17,39,22,119,-40,7331,2
Chengdu Hunters,12,10,6,13,36,23,119,-56,7331,3
Philadelphia Fusion,10,10,6,12,37,25,125,-14,7331,4
Hangzhou Spark,9,9,7,9,35,26,125,-24,7331,5
New York Excelsior,7,7,9,-3,29,32,125,-24,7331,6
Guangzhou Charge,3,3,13,-27,15,42,143,80,7331,7
Los Angeles Valiant,1,1,15,-42,5,47,143,94,7331,8
Shanghai Dragons,23,12,4,21,38,17,124,-18,7332,1
Seoul Dynasty,13,12,4,19,39,20,120,-40,7332,2
Chengdu Hunters,13,11,5,16,38,22,116,-66,7332,3
Philadelphia Fusion,10,10,6,12,35,23,126,-12,7332,4
Hangzhou Spark,8,8,8,5,34,29,128,-12,7332,5
New York Excelsior,7,7,9,-4,28,32,124,-26,7332,6
Guangzhou Charge,4,4,12,-23,16,39,140,70,7332,7
Los Angeles Valiant,0,0,16,-46,2,48,146,104,7332,8
Shanghai Dragons,20,12,4,19,38,19,125,-14,7333,1
Seoul Dynasty,12,12,4,18,40,22,120,-38,7333,2
Chengdu Hunters,12,10,6,12,37,25,118,-57,7333,3
Philadelphia Fusion,11,10,6,12,37,25,125,-13,7333,4
Hangzhou Spark,9,9,7,6,35,29,126,-14,7333,5
New York Excelsior,7,7,9,-1,31,32,124,-31,7333,6
Guangzhou Charge,4,4,12,-21,19,40,141,66,7333,7
Los Angeles Valiant,0,0,16,-45,3,48,145,101,7333,8
Shanghai Dragons,23,12,4,21,38,17,124,-18,7334,1
Chengdu Hunters,13,11,5,17,38,21,116,-68,7334,2
Seoul Dynasty,12,12,4,19,39,20,120,-41,7334,3
Philadelphia Fusion,10,10,6,11,35,24,126,-9,7334,4
Hangzhou Spark,8,8,8,5,33,28,128,-13,7334,5
New York Excelsior,7,7,9,-4,28,32,124,-26,7334,6
Guangzhou Charge,4,4,12,-24,16,40,140,72,7334,7
Los Angeles Valiant,0,0,16,-45,3,48,146,103,7334,8
Shanghai Dragons,21,12,4,21,38,17,124,-20,7335,1
Chengdu Hunters,13,11,5,18,38,20,116,-67,7335,2
Seoul Dynasty,12,12,4,18,39,21,120,-41,7335,3
Philadelphia Fusion,10,10,6,13,36,23,126,-12,7335,4
Hangzhou Spark,8,8,8,4,32,28,128,-13,7335,5
New York Excelsior,7,7,9,-4,28,32,124,-23,7335,6
Guangzhou Charge,4,4,12,-26,15,41,140,74,7335,7
Los Angeles Valiant,0,0,16,-44,4,48,146,102,7335,8
Shanghai Dragons,20,12,4,19,38,19,123,-20,7336,1
Seoul Dynasty,14,12,4,19,40,21,121,-36,7336,2
Chengdu Hunters,13,11,5,16,38,22,116,-67,7336,3
Philadelphia Fusion,10,10,6,11,36,25,126,-7,7336,4
Hangzhou Spark,7,7,9,-1,30,31,131,4,7336,5
New York Excelsior,7,7,9,-1,31,32,124,-33,7336,6
Guangzhou Charge,5,5,11,-17,20,37,137,52,7336,7
Los Angeles Valiant,0,0,16,-46,2,48,146,107,7336,8
Shanghai Dragons,23,12,4,22,38,16,124,-23,7337,1
Chengdu Hunters,13,11,5,15,38,23,116,-64,7337,2
Seoul Dynasty,12,12,4,17,38,21,120,-34,7337,3
Philadelphia Fusion,10,10,6,12,36,24,126,-11,7337,4
Hangzhou Spark,8,8,8,4,33,29,128,-8,7337,5
New York Excelsior,7,7,9,-2,30,32,124,-30,7337,6
Guangzhou Charge,4,4,12,-22,17,39,140,65,7337,7
Los Angeles Valiant,0,0,16,-46,2,48,146,105,7337,8
Shanghai Dragons,23,12,4,20,38,18,122,-25,7338,1
Chengdu Hunters,13,11,5,15,38,23,117,-60,7338,2
Philadelphia Fusion,11,11,5,15,38,23,124,-18,7338,3
Seoul Dynasty,11,11,5,14,37,23,123,-25,7338,4
Hangzhou Spark,7,7,9,1,32,31,131,1,7338,5
New York Excelsior,7,7,9,-3,29,32,125,-24,7338,6
Guangzhou Charge,5,5,11,-17,21,38,136,49,7338,7
Los Angeles Valiant,0,0,16,-45,3,48,146,102,7338,8
Shanghai Dragons,22,12,4,22,38,16,123,-24,7339,1
Chengdu Hunters,13,11,5,15,38,23,117,-61,7339,2
Philadelphia Fusion,11,11,5,15,38,23,124,-18,7339,3
Seoul Dynasty,11,11,5,14,37,23,122,-29,7339,4
Hangzhou Spark,8,8,8,6,34,28,128,-13,7339,5
New York Excelsior,7,7,9,-3,29,32,125,-25,7339,6
Guangzhou Charge,4,4,12,-23,16,39,139,66,7339,7
Los Angeles Valiant,0,0,16,-46,2,48,146,104,7339,8
Shanghai Dragons,23,12,4,22,38,16,125,-19,7340,1
Seoul Dynasty,12,12,4,18,38,20,120,-35,7340,2
Chengdu Hunters,12,10,6,12,36,24,118,-59,7340,3
Philadelphia Fusion,10,10,6,11,35,24,125,-13,7340,4
Hangzhou Spark,9,9,7,7,35,28,126,-13,7340,5
New York Excelsior,7,7,9,-3,29,32,124,-29,7340,6
Guangzhou Charge,4,4,12,-21,18,39,141,67,7340,7
Los Angeles Valiant,0,0,16,-46,2,48,145,101,7340,8
Shanghai Dragons,23,12,4,20,38,18,124,-17,7341,1
Chengdu Hunters,13,11,5,16,38,22,116,-64,7341,2
Seoul Dynasty,12,12,4,17,39,22,120,-36,7341,3
Philadelphia Fusion,10,10,6,14,37,23,126,-17,7341,4
Hangzhou Spark,8,8,8,6,34,28,128,-14,7341,5
New York Excelsior,7,7,9,-5,27,32,124,-22,7341,6
Guangzhou Charge,4,4,12,-22,17,39,140,67,7341,7
Los Angeles Valiant,0,0,16,-46,2,48,146,103,7341,8
Shanghai Dragons,20,12,4,21,38,17,124,-21,7342,1
Seoul Dynasty,13,12,4,18,39,21,120,-38,7342,2
Chengdu Hunters,13,11,5,18,38,20,116,-71,7342,3
Philadelphia Fusion,10,10,6,11,36,25,126,-6,7342,4
Hangzhou Spark,8,8,8,3,32,29,128,-8,7342,5
New York Excelsior,7,7,9,-2,30,32,124,-31,7342,6
Guangzhou Charge,4,4,12,-23,16,39,140,67,7342,7
Los Angeles Valiant,0,0,16,-46,2,48,146,108,7342,8
Shanghai Dragons,23,12,4,22,38,16,124,-24,7343,1
Chengdu Hunters,13,11,5,18,38,20,116,-68,7343,2
Seoul Dynasty,12,12,4,17,38,21,120,-35,7343,3
Philadelphia Fusion,10,10,6,13,36,23,126,-13,7343,4
Hangzhou Spark,8,8,8,3,33,30,128,-7,7343,5
New York Excelsior,7,7,9,-5,27,32,124,-22,7343,6
Guangzhou Charge,4,4,12,-23,17,40,140,66,7343,7
Los Angeles Valiant,0,0,16,-45,3,48,146,103,7343,8
Shanghai Dragons,21,12,4,21,38,17,124,-21,7344,1
Seoul Dynasty,14,12,4,16,38,22,120,-36,7344,2
Chengdu Hunters,13,11,5,17,38,21,116,-65,7344,3
Philadelphia Fusion,10,10,6,13,37,24,126,-12,7344,4
Hangzhou Spark,8,8,8,5,33,28,128,-14,7344,5
New York Excelsior,7,7,9,-3,29,32,124,-25,7344,6
Guangzhou Charge,4,4,12,-25,16,41,140,71,7344,7
Los Angeles Valiant,0,0,16,-44,4,48,146,102,7344,8
Shanghai Dragons,22,12,4,21,38,17,123,-24,7345,1
Chengdu Hunters,13,11,5,16,38,22,117,-62,7345,2
Philadelphia Fusion,11,11,5,16,38,22,124,-18,7345,3
Seoul Dynasty,11,11,5,14,37,23,122,-30,7345,4
Hangzhou Spark,8,8,8,4,32,28,128,-10,7345,5
New York Excelsior,7,7,9,-2,30,32,125,-26,7345,6
Guangzhou Charge,4,4,12,-23,16,39,139,64,7345,7
Los Angeles Valiant,0,0,16,-46,2,48,146,106,7345,8
Shanghai Dragons,23,12,4,21,38,17,123,-25,7346,1
Chengdu Hunters,12,10,6,14,37,23,119,-58,7346,2
Philadelphia Fusion,11,11,5,16,38,22,123,-21,7346,3
Seoul Dynasty,11,11,5,13,36,23,123,-24,7346,4
Hangzhou Spark,8,8,8,4,32,28,129,-6,7346,5
New York Excelsior,7,7,9,-3,29,32,125,-24,7346,6
Guangzhou Charge,5,5,11,-19,19,38,137,55,7346,7
Los Angeles Valiant,0,0,16,-46,2,48,145,103,7346,8
Shanghai Dragons,19,11,5,18,37,19,125,-20,7347,1
Chengdu Hunters,15,11,5,17,38,21,117,-65,7347,2
Seoul Dynasty,13,12,4,17,39,22,120,-35,7347,3
Philadelphia Fusion,11,11,5,15,38,23,124,-14,7347,4
Hangzhou Spark,7,7,9,-1,30,31,130,1,7347,5
New York Excelsior,7,7,9,-1,31,32,125,-29,7347,6
Guangzhou Charge,5,5,11,-19,18,37,137,54,7347,7
Los Angeles Valiant,0,0,16,-46,2,48,146,108,7347,8
Shanghai Dragons,22,12,4,22,38,16,123,-28,7348,1
Chengdu Hunters,13,11,5,17,38,21,116,-64,7348,2
Seoul Dynasty,11,11,5,12,35,23,122,-27,7348,3
Philadelphia Fusion,10,10,6,14,37,23,127,-11,7348,4
Hangzhou Spark,8,8,8,4,32,28,128,-11,7348,5
New York Excelsior,8,8,8,0,31,31,122,-30,7348,6
Guangzhou Charge,4,4,12,-25,16,41,139,66,7348,7
Los Angeles Valiant,0,0,16,-44,4,48,147,105,7348,8
Shanghai Dragons,21,12,4,22,38,16,124,-23,7349,1
Chengdu Hunters,13,11,5,15,38,23,116,-64,7349,2
Seoul Dynasty,12,12,4,17,38,21,120,-35,7349,3
Philadelphia Fusion,10,10,6,11,36,25,126,-8,7349,4
Hangzhou Spark,8,8,8,4,33,29,128,-9,7349,5
New York Excelsior,7,7,9,-1,31,32,124,-32,7349,6
Guangzhou Charge,4,4,12,-23,17,40,140,67,7349,7
Los Angeles Valiant,0,0,16,-45,3,48,146,104,7349,8
Shanghai Dragons,20,12,4,21,38,17,124,-21,7350,1
Seoul Dynasty,14,12,4,17,39,22,120,-35,7350,2
Chengdu Hunters,12,10,6,12,36,24,118,-57,7350,3
Philadelphia Fusion,10,10,6,13,37,24,126,-13,7350,4
Hangzhou Spark,8,8,8,4,34,30,128,-9,7350,5
New York Excelsior,8,8,8,1,31,30,122,-35,7350,6
Guangzhou Charge,4,4,12,-22,17,39,140,65,7350,7
Los Angeles Valiant,0,0,16,-46,2,48,146,105,7350,8
Shanghai Dragons,22,12,4,21,38,17,122,-29,7351,1
Chengdu Hunters,13,11,5,16,38,22,117,-60,7351,2
Philadelphia Fusion,12,11,5,17,38,21,124,-22,7351,3
Seoul Dynasty,11,11,5,13,36,23,123,-23,7351,4
Hangzhou Spark,7,7,9,0,31,31,131,3,7351,5
New York Excelsior,7,7,9,-4,28,32,125,-20,7351,6
Guangzhou Charge,5,5,11,-18,20,38,136,49,7351,7
Los Angeles Valiant,0,0,16,-45,3,48,146,102,7351,8
Shanghai Dragons,22,12,4,20,38,18,123,-23,7352,1
Chengdu Hunters,13,11,5,18,38,20,117,-65,7352,2
Philadelphia Fusion,11,11,5,17,38,21,124,-21,7352,3
Seoul Dynasty,11,11,5,14,37,23,122,-29,7352,4
Hangzhou Spark,8,8,8,3,33,30,128,-7,7352,5
New York Excelsior,7,7,9,-5,27,32,125,-19,7352,6
Guangzhou Charge,4,4,12,-21,18,39,139,59,7352,7
Los Angeles Valiant,0,0,16,-46,2,48,146,105,7352,8
Shanghai Dragons,22,12,4,21,38,17,124,-23,7353,1
Chengdu Hunters,13,11,5,19,38,19,116,-70,7353,2
Seoul Dynasty,12,12,4,16,38,22,120,-35,7353,3
Philadelphia Fusion,10,10,6,12,37,25,126,-8,7353,4
Hangzhou Spark,8,8,8,3,32,29,128,-9,7353,5
New York Excelsior,7,7,9,-3,29,32,124,-26,7353,6
Guangzhou Charge,4,4,12,-24,17,41,140,67,7353,7
Los Angeles Valiant,0,0,16,-44,4,48,146,104,7353,8
Shanghai Dragons,20,12,4,20,38,18,123,-22,7354,1
Chengdu Hunters,13,10,6,12,36,24,118,-56,7354,2
Seoul Dynasty,12,12,4,17,39,22,121,-32,7354,3
Philadelphia Fusion,10,10,6,14,37,23,126,-16,7354,4
New York Excelsior,8,8,8,0,30,30,122,-32,7354,5
Hangzhou Spark,7,7,9,1,32,31,131,0,7354,6
Guangzhou Charge,5,5,11,-18,20,38,137,54,7354,7
Los Angeles Valiant,0,0,16,-46,2,48,146,104,7354,8
Shanghai Dragons,22,12,4,21,38,17,123,-26,7355,1
Chengdu Hunters,13,11,5,17,38,21,117,-62,7355,2
Philadelphia Fusion,11,11,5,17,38,21,124,-20,7355,3
Seoul Dynasty,11,11,5,14,37,23,122,-30,7355,4
Hangzhou Spark,8,8,8,2,32,30,128,-6,7355,5
New York Excelsior,7,7,9,-3,29,32,125,-22,7355,6
Guangzhou Charge,4,4,12,-23,17,40,139,62,7355,7
Los Angeles Valiant,0,0,16,-45,3,48,146,104,7355,8
Shanghai Dragons,20,12,4,20,38,18,124,-16,7356,1
Seoul Dynasty,13,12,4,19,39,20,120,-40,7356,2
Chengdu Hunters,13,11,5,17,38,21,115,-73,7356,3
Philadelphia Fusion,9,9,7,7,33,26,129,3,7356,4
Hangzhou Spark,8,8,8,5,34,29,128,-12,7356,5
New York Excelsior,8,8,8,0,30,30,121,-39,7356,6
Guangzhou Charge,4,4,12,-22,17,39,140,68,7356,7
Los Angeles Valiant,0,0,16,-46,2,48,147,109,7356,8
Shanghai Dragons,19,11,5,17,36,19,128,-2,7357,1
Seoul Dynasty,15,13,3,22,41,19,117,-49,7357,2
Chengdu Hunters,13,10,6,11,35,24,117,-60,7357,3
Hangzhou Spark,9,9,7,10,35,25,125,-25,7357,4
Philadelphia Fusion,9,9,7,8,34,26,128,-5,7357,5
New York Excelsior,8,8,8,0,30,30,121,-38,7357,6
Guangzhou Charge,4,4,12,-22,17,39,142,76,7357,7
Los Angeles Valiant,0,0,16,-46,2,48,146,103,7357,8
Shanghai Dragons,20,12,4,21,38,17,123,-24,7358,1
Seoul Dynasty,14,12,4,17,39,22,121,-33,7358,2
Chengdu Hunters,13,11,5,17,38,21,116,-68,7358,3
Philadelphia Fusion,10,10,6,12,37,25,126,-9,7358,4
Hangzhou Spark,7,7,9,1,32,31,131,-1,7358,5
New York Excelsior,7,7,9,-2,30,32,124,-30,7358,6
Guangzhou Charge,5,5,11,-20,18,38,137,58,7358,7
Los Angeles Valiant,0,0,16,-46,2,48,146,107,7358,8
Shanghai Dragons,23,12,4,21,38,17,124,-19,7359,1
Seoul Dynasty,13,12,4,18,39,21,120,-39,7359,2
Chengdu Hunters,13,11,5,18,38,20,116,-70,7359,3
Philadelphia Fusion,10,10,6,12,36,24,126,-10,7359,4
Hangzhou Spark,8,8,8,5,33,28,128,-13,7359,5
New York Excelsior,7,7,9,-4,28,32,124,-26,7359,6
Guangzhou Charge,4,4,12,-24,15,39,140,71,7359,7
Los Angeles Valiant,0,0,16,-46,2,48,146,106,7359,8
Shanghai Dragons,22,12,4,21,38,17,122,-28,7360,1
Chengdu Hunters,13,11,5,19,38,19,117,-66,7360,2
Philadelphia Fusion,11,11,5,16,38,22,124,-17,7360,3
Seoul Dynasty,11,11,5,14,37,23,123,-29,7360,4
Hangzhou Spark,7,7,9,0,31,31,131,-1,7360,5
New York Excelsior,7,7,9,-4,28,32,125,-20,7360,6
Guangzhou Charge,5,5,11,-22,18,40,136,58,7360,7
Los Angeles Valiant,0,0,16,-44,4,48,146,103,7360,8
Shanghai Dragons,20,12,4,20,38,18,124,-18,7361,1
Chengdu Hunters,15,10,6,14,37,23,118,-64,7361,2
Seoul Dynasty,13,12,4,19,39,20,121,-35,7361,3
Philadelphia Fusion,10,10,6,10,35,25,125,-9,7361,4
Hangzhou Spark,8,8,8,3,33,30,129,-3,7361,5
New York Excelsior,7,7,9,-3,29,32,124,-30,7361,6
Guangzhou Charge,5,5,11,-17,20,37,138,56,7361,7
Los Angeles Valiant,0,0,16,-46,2,48,145,103,7361,8
Shanghai Dragons,20,12,4,21,38,17,125,-17,7362,1
Seoul Dynasty,13,12,4,17,38,21,120,-36,7362,2
Chengdu Hunters,12,10,6,14,37,23,118,-61,7362,3
Philadelphia Fusion,10,10,6,13,36,23,125,-16,7362,4
Hangzhou Spark,9,9,7,8,35,27,126,-18,7362,5
New York Excelsior,7,7,9,-4,28,32,124,-25,7362,6
Guangzhou Charge,4,4,12,-23,16,39,141,71,7362,7
Los Angeles Valiant,0,0,16,-46,2,48,145,102,7362,8
Shanghai Dragons,23,12,4,22,38,16,124,-25,7363,1
Chengdu Hunters,13,11,5,18,38,20,116,-68,7363,2
Seoul Dynasty,12,12,4,16,38,22,120,-34,7363,3
Philadelphia Fusion,11,10,6,12,37,25,126,-9,7363,4
Hangzhou Spark,8,8,8,3,33,30,128,-8,7363,5
New York Excelsior,7,7,9,-3,29,32,124,-26,7363,6
Guangzhou Charge,4,4,12,-24,17,41,140,67,7363,7
Los Angeles Valiant,0,0,16,-44,4,48,146,103,7363,8
Shanghai Dragons,23,12,4,21,38,17,123,-24,7364,1
Seoul Dynasty,13,12,4,18,39,21,121,-33,7364,2
Chengdu Hunters,13,11,5,17,38,21,116,-67,7364,3
Philadelphia Fusion,10,10,6,13,36,23,126,-14,7364,4
Hangzhou Spark,7,7,9,0,31,31,131,3,7364,5
New York Excelsior,7,7,9,-5,27,32,124,-23,7364,6
Guangzhou Charge,5,5,11,-18,19,37,137,54,7364,7
Los Angeles Valiant,0,0,16,-46,2,48,146,104,7364,8
Shanghai Dragons,22,12,4,22,38,16,124,-23,7365,1
Chengdu Hunters,13,11,5,16,38,22,116,-64,7365,2
Seoul Dynasty,12,12,4,17,38,21,120,-34,7365,3
Philadelphia Fusion,10,10,6,13,36,23,126,-15,7365,4
Hangzhou Spark,8,8,8,4,34,30,128,-8,7365,5
New York Excelsior,7,7,9,-5,27,32,124,-22,7365,6
Guangzhou Charge,4,4,12,-22,18,40,140,65,7365,7
Los Angeles Valiant,0,0,16,-45,3,48,146,101,7365,8
Shanghai Dragons,20,12,4,21,38,17,125,-17,7366,1
Chengdu Hunters,15,10,6,15,37,22,118,-62,7366,2
Seoul Dynasty,12,12,4,17,39,22,120,-38,7366,3
Philadelphia Fusion,10,10,6,13,37,24,125,-15,7366,4
Hangzhou Spark,9,9,7,8,35,27,126,-20,7366,5
New York Excelsior,7,7,9,-4,28,32,124,-24,7366,6
Guangzhou Charge,4,4,12,-25,15,40,141,75,7366,7
Los Angeles Valiant,0,0,16,-45,3,48,145,101,7366,8
Shanghai Dragons,23,12,4,22,38,16,124,-24,7367,1
