team,rmsa,team dropped
Toronto Defiant,-19.24,London Spitfire
Vancouver Titans,-64.89,London Spitfire
Los Angeles Valiant,-100.0,London Spitfire
Shanghai Dragons,73.72,Los Angeles Gladiators
Dallas Fuel,70.6,Los Angeles Gladiators
Atlanta Reign,63.96,Los Angeles Gladiators
San Francisco Shock,58.23,Los Angeles Gladiators
Chengdu Hunters,57.63,Los Angeles Gladiators
Houston Outlaws,54.45,Los Angeles Gladiators
Seoul Dynasty,42.84,Los Angeles Gladiators
Philadelphia Fusion,31.9,Los Angeles Gladiators
Boston Uprising,13.71,Los Angeles Gladiators
Los Angeles Gladiators,13.41,Los Angeles Gladiators
Washington Justice,11.01,Los Angeles Gladiators
Paris Eternal,4.35,Los Angeles Gladiators
Florida Mayhem,1.6,Los Angeles Gladiators
New York Excelsior,1.45,Los Angeles Gladiators
Guangzhou Charge,-4.18,Los Angeles Gladiators
Toronto Defiant,-7.54,Los Angeles Gladiators
Hangzhou Spark,-9.81,Los Angeles Gladiators
London Spitfire,-46.28,Los Angeles Gladiators
Vancouver Titans,-62.95,Los Angeles Gladiators
Los Angeles Valiant,-100.0,Los Angeles Gladiators
Los Angeles Gladiators,76.5,Paris Eternal
Dallas Fuel,68.86,Paris Eternal
Shanghai Dragons,68.2,Paris Eternal
San Francisco Shock,59.68,Paris Eternal
Atlanta Reign,56.27,Paris Eternal
Chengdu Hunters,54.22,Paris Eternal
Houston Outlaws,42.75,Paris Eternal
Seoul Dynasty,41.79,Paris Eternal
Philadelphia Fusion,31.16,Paris Eternal
Paris Eternal,13.4,Paris Eternal
Washington Justice,10.82,Paris Eternal
New York Excelsior,1.55,Paris Eternal
Florida Mayhem,-3.94,Paris Eternal
Guangzhou Charge,-4.09,Paris Eternal
Boston Uprising,-4.57,Paris Eternal
Hangzhou Spark,-9.79,Paris Eternal
Toronto Defiant,-21.02,Paris Eternal
London Spitfire,-43.88,Paris Eternal
Vancouver Titans,-69.94,Paris Eternal
Los Angeles Valiant,-100.0,Paris Eternal
Los Angeles Gladiators,80.13,San Francisco Shock
Shanghai Dragons,71.12,San Francisco Shock
Dallas Fuel,71.08,San Francisco Shock
Chengdu Hunters,52.41,San Francisco Shock
Atlanta Reign,52.02,San Francisco Shock
Seoul Dynasty,40.79,San Francisco Shock
Houston Outlaws,35.45,San Francisco Shock
Philadelphia Fusion,27.32,San Francisco Shock
San Francisco Shock,11.06,San Francisco Shock
Washington Justice,10.11,San Francisco Shock
Paris Eternal,3.96,San Francisco Shock
Florida Mayhem,-1.36,San Francisco Shock
New York Excelsior,-2.57,San Francisco Shock
Boston Uprising,-3.08,San Francisco Shock
Toronto Defiant,-5.01,San Francisco Shock
Guangzhou Charge,-5.12,San Francisco Shock
Hangzhou Spark,-12.58,San Francisco Shock
London Spitfire,-46.43,San Francisco Shock
Vancouver Titans,-58.11,San Francisco Shock
Los Angeles Valiant,-100.0,San Francisco Shock
Shanghai Dragons,73.36,Toronto Defiant
Los Angeles Gladiators,72.32,Toronto Defiant
Dallas Fuel,67.2,Toronto Defiant
Atlanta Reign,59.33,Toronto Defiant
Chengdu Hunters,56.14,Toronto Defiant
San Francisco Shock,54.36,Toronto Defiant
Seoul Dynasty,44.81,Toronto Defiant
Houston Outlaws,39.73,Toronto Defiant
Philadelphia Fusion,31.62,Toronto Defiant
Toronto Defiant,15.18,Toronto Defiant
Paris Eternal,10.73,Toronto Defiant
Washington Justice,10.45,Toronto Defiant
New York Excelsior,1.34,Toronto Defiant
Guangzhou Charge,-2.55,Toronto Defiant
Boston Uprising,-6.11,Toronto Defiant
Hangzhou Spark,-8.92,Toronto Defiant
Florida Mayhem,-12.51,Toronto Defiant
London Spitfire,-45.17,Toronto Defiant
Vancouver Titans,-57.8,Toronto Defiant
Los Angeles Valiant,-100.0,Toronto Defiant
Shanghai Dragons,71.26,Vancouver Titans
Los Angeles Gladiators,70.86,Vancouver Titans
Dallas Fuel,62.64,Vancouver Titans
Chengdu Hunters,54.16,Vancouver Titans
San Francisco Shock,50.94,Vancouver Titans
Atlanta Reign,47.73,Vancouver Titans
Seoul Dynasty,42.08,Vancouver Titans
Houston Outlaws,40.53,Vancouver Titans
Philadelphia Fusion,30.92,Vancouver Titans
Vancouver Titans,13.57,Vancouver Titans
New York Excelsior,0.07,Vancouver Titans
Paris Eternal,-0.75,Vancouver Titans
Washington Justice,-1.66,Vancouver Titans
Guangzhou Charge,-4.58,Vancouver Titans
Boston Uprising,-5.33,Vancouver Titans
Florida Mayhem,-7.8,Vancouver Titans
Hangzhou Spark,-11.66,Vancouver Titans
Toronto Defiant,-24.34,Vancouver Titans
London Spitfire,-57.25,Vancouver Titans
Los Angeles Valiant,-100.0,Vancouver Titans
Los Angeles Gladiators,71.74,Washington Justice
Shanghai Dragons,69.87,Washington Justice
Dallas Fuel,68.28,Washington Justice
San Francisco Shock,58.77,Washington Justice
Chengdu Hunters,52.99,Washington Justice
Atlanta Reign,52.14,Washington Justice
Houston Outlaws,41.66,Washington Justice
Seoul Dynasty,40.92,Washington Justice
Philadelphia Fusion,29.49,Washington Justice
Washington Justice,11.83,Washington Justice
New York Excelsior,-0.23,Washington Justice
Florida Mayhem,-1.38,Washington Justice
Paris Eternal,-2.74,Washington Justice
Guangzhou Charge,-5.45,Washington Justice
Hangzhou Spark,-12.14,Washington Justice
Boston Uprising,-13.1,Washington Justice
Toronto Defiant,-17.28,Washington Justice
London Spitfire,-48.06,Washington Justice
Vancouver Titans,-60.79,Washington Justice
Los Angeles Valiant,-100.0,Washington Justice
